date,course,hole,par,distance,handicap,score,fairway,green,putts,chips,penalties,to_par
8/21/2024,Kebo Valley Club,2,4,,3,5,hit,left,2,1,0,1
8/21/2024,Kebo Valley Club,3,4,,11,7,right,short,2,3,0,3
8/21/2024,Kebo Valley Club,4,3,,17,3,right,hit,2,0,0,0
8/21/2024,Kebo Valley Club,5,5,,9,5,,hit,2,0,0,0
8/21/2024,Kebo Valley Club,6,3,,13,6,hit,short,2,2,0,3
8/21/2024,Kebo Valley Club,7,4,,15,4,,hit,2,0,0,0
8/21/2024,Kebo Valley Club,8,4,,1,7,right,nochance,3,1,0,3
8/21/2024,Kebo Valley Club,9,3,,5,3,right,hit,2,0,0,0
8/21/2024,Kebo Valley Club,10,4,,10,6,right,nochance,2,2,0,2
8/21/2024,Kebo Valley Club,11,4,,8,5,hit,hit,3,0,0,1
8/21/2024,Kebo Valley Club,12,4,,14,5,hit,hit,3,0,0,1
8/21/2024,Kebo Valley Club,13,4,,2,5,right,nochance,1,1,0,1
8/21/2024,Kebo Valley Club,14,5,,4,6,right,left,1,2,0,1
8/21/2024,Kebo Valley Club,15,3,,16,5,,short,3,1,0,2
8/21/2024,Kebo Valley Club,16,4,,18,7,right,left,2,3,0,3
8/21/2024,Kebo Valley Club,17,4,,6,6,hit,right,2,1,0,2
8/21/2024,Kebo Valley Club,18,4,,12,5,hit,short,2,1,0,1
8/11/2024,Enterprise Golf Course,1,4,,16,6,right,right,2,1,0,2
8/11/2024,Enterprise Golf Course,2,5,,6,7,right,short,2,1,0,2
8/11/2024,Enterprise Golf Course,3,4,,14,4,hit,short,1,1,0,0
8/11/2024,Enterprise Golf Course,4,3,,18,4,,short,2,1,0,1
8/11/2024,Enterprise Golf Course,5,4,,4,7,left,nochance,2,2,0,3
8/11/2024,Enterprise Golf Course,6,4,,12,5,hit,long,2,1,0,1
8/11/2024,Enterprise Golf Course,7,4,,10,7,left,short,2,3,0,3
8/11/2024,Enterprise Golf Course,8,3,,8,4,,short,2,1,0,1
8/11/2024,Enterprise Golf Course,9,5,,2,5,hit,hit,2,0,0,0
8/11/2024,Enterprise Golf Course,10,5,,3,7,right,nochance,2,1,0,2
8/11/2024,Enterprise Golf Course,11,4,,5,5,hit,short,2,1,0,1
8/11/2024,Enterprise Golf Course,12,4,,9,5,hit,short,2,1,0,1
8/11/2024,Enterprise Golf Course,13,3,,15,4,,right,2,1,0,1
8/11/2024,Enterprise Golf Course,14,5,,7,4,hit,hit,1,1,0,-1
8/11/2024,Enterprise Golf Course,15,3,,17,2,,hit,1,0,0,-1
8/11/2024,Enterprise Golf Course,16,4,,1,5,left,nochance,2,0,0,1
8/11/2024,Enterprise Golf Course,17,4,,11,6,hit,left,2,2,0,2
8/11/2024,Enterprise Golf Course,18,4,,13,6,hit,nochance,3,0,0,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
